about,cgpa_cutoff,com_id,contract,criteria,dep_str,jnf_id,name,package,profile,selection,status,type
"OEM - Product Analyst (PA)
Engineering Development Program [EDP]

EDP is Olas technical development programme curated for young graduates, to give them adequate

exposure and hands-on training in varied tech domains

Role Offered: EDP - PA

Product Analysts work closely with product managers as a data-driven advisor and partner on strategic
issues. You should enjoy both working with people and undertaking rigorous statistical analyses.
Responsibilities:
● Execute quantitative analyses that translate data into actionable insights. Provide analytical and
data-driven decision- making support for key projects
● Develop new insights and analyses that inform decisions and help us continue to improve our
products for customers
● Provide reporting and performance monitoring to multiple product lines in Ola financial services
using data drawn from diverse sources
Required skills & experience:
● Comfortable manipulating, transforming, and analyzing complex, high-volume, high-dimensional
data from varying sources

● Excellent presentation and communication skills; comfortable explaining technical topics to non-
technical users

● Good client management skills with a solid grasp of both technical and business perspectives.
● Experience with SQL, data warehousing, data modeling, dashboarding, and reporting, involving
very large data sets and multiple data sources, with the ability to interpret data and produce
significant insights.
● Understanding of funnel analysis, cohort analysis, customer journey analysis, A/B tests, and
readouts
● Experience automating analysis using analytics packages in languages like R or Python
● Demonstrable ability to work in a dynamic environment, and to meet changing deadlines and
priorities on multiple simultaneous projects
● Enjoy working in both individual and team settings
● Bachelor's in any stream

Projects:
● Swapping business optimisation
● Battery health estimation
● Battery charging optimisation
● Station productivity optimisation
Qualifications: Any BTech Degree
Skills/Experience:
● Comfortable with ambiguity in a dynamic environment
● Strong interpersonal skills & ability to lead through influence
● Bias for action, in a very fast-paced result-oriented work culture",0.0,274,NA,NA,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,7,ANI Technologies,"1300000 INR  [Basic	500000
HRA	250000
PF contribution	21600
Special Allowance	228400]",EDP - Product Analyst,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"OEM - Vehicle Engineering (VE)
Engineering Development Program [EDP]

EDP is Olas technical development programme curated for young graduates, to give them adequate

exposure and hands-on training in varied tech domains

Roles Offered: EDP - VE

Role specifications :
1. Electrical Components Design - Cluster , Lamps
2. Wiring Harness designer - Circuit Schematics , Vehicle electrical Architecture , Wiring Harness
design
3. Electronics- Hardware design -Motor controllers, Vehicle controller etc
4. Electronics- Hardware design -Motor controllers, Vehicle controller etc
Qualification:
Post Graduate in Mechanical Engineering, Design , Mechanics, Automotive engineering or similar
Requirements (Must have):
● Bachelor's degree in Engineering
● Superior problem-solving and analytical skills, with the ability to do consumer research and a strong
business sense
● Entrepreneurial and result-oriented mind-set. Strong sense of urgency and ownership
● High degree of commitment with a bias for execution excellence
Additional Skills/Experience:
● Comfortable with ambiguity in a dynamic environment
● Strong interpersonal skills & ability to lead through influence
● Bias for action, in a very fast-paced result-oriented work culture",0.0,274,NA,NA,AT_EE_EC_TE_ME,8,ANI Technologies,"1100000 INR  [Basic	454546
HRA	227273
PF contribution	21600
Special Allowance	205672]",EDP - Vehicle Engineering,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Please Find Attached the description of 7 roles offered in OLA's Engineering Development Program [EDP].
EDP is Olas technical development program curated for young graduates, to give them adequate exposure
and hands-on training in varied tech domains",,274,0,,CH_CS_EE_EC_ME_MT,9,ANI Technologies,1000000 INR  [1000000],Engineering Development Program,Online/Offline test (Max 30 mins),1,PLACEMENT
"Designation: Associate Software Engineer
Work Location: Gurgaon
Educational Qualification: B.Tech

SirionLabs is seeking top notch Software Engineers who would participate in our journey of tackling the next big enterprise problem. Ideal candidates would:

	Design and develop highly scalable multi-tenant SaaS services based on micro services architecture, integrate with Big Data analytics, and scale using Dev Ops best practices.
	Craft high-performing, high-quality, maintainable and robust code using Java, Golang or Scala; and Open Source technologies such as spring.
	Solve complex problems after understanding the broader context.
	Build simple and straightforward solutions without over-engineering.
	Ensure regular code reviews, continuous integration, and high test code coverage, on-going code refactoring and adequate documentation.
	Write and review unit test plans, tests, and code coverage to ensure high quality delivery.
	Lead, mentor and help up-skill junior members of the development team.

About Us
SirionLabs is a Stanford University backed company building breakthrough technology in the field of Enterprise Contract management.
We are hosted on AWS utilizing Aurora, Redshift, Lambda and are built on Java, C#, Golang, Angular, MongoDB and Postgres. We make data speak for itself with the help of Elastic Search, Lucene, Solr and other Big Data technologies by ingesting large volume of machine data, support data and complex enterprise data sets. We rely on NLP (coreNLP), Neuralnets and Machine Learning technologies to improve operational efficiency and for predictive analysis.
We are a team of high energy individuals who revel in a rapid-pace, agile product development environment. Our aspiration is to take the immense amounts of dumb enterprise data dumps out there and build path-breaking, context-aware products that solve meaningful and complex problems. In doing so, we hope to put Indian engineering on the world map. So, if these are the ideals that excite you, there is definitely a place for you at SirionLabs!",,276,No,60 % throughout the academics,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,SirionLabs,12 INR  [10.90 fixed + 1.09 annual performance bonus(variable)],Associate Software Engineer,Online/Offline test (Max 30 mins),0,PLACEMENT
Attached in email,,277,No,,AT_AE_CS_EE_EC_ME_RE,1,Tesco,2049000 INR  [2049000 [Fixed: 1600000]],Graduate Software Dev Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"Digital signal processing (DSP) engineers establish, maintain, and alter digital signals for reliability and accuracy, often for things such as video, audio, pressure, and temperature.",0.0,278,Yes One Year from the Date of joining,,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,2,ATC Labs (Audio Technologies & codecs (i) Pvt Ltd.,760000 INR  [45000 + 10000+ 90000(Incentive)],DSP Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
Software Engineer,,280,NO,None,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,POLICYBAZAAR INSURANCE WEB AGGREGATOR PRIVATE LIMITED,"1200000 INR  [Basic Salary - 7,20,000 LPA
Allowance - 4,80,000 LPA]",Software Engineer,"GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
"The core responsibility is to deliver product features. A major part of this is writing the code that drives our products. But the role of a software engineer is much bigger than just being a coding machine. Software engineers work on the whole development process, including:

 

·         deciding what features to build
·         driving the design
·         writing the code (of course)
·         pushing testing
·         documenting the feature
·         supporting customers in the field. 

Along the way, you might:
·         extend and improve the test infrastructure
·         hack on our engineering tools, including p4, django, python, rpm, ...
·         work with sales and business development
·         Improve the content on our website :)",,282,NA,NA,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,Arista Networks,"1850000 INR  [Base -1436000
Anniversary Bonus - Upto 200000
Relocation + Sign on Bonus - 150000
Ola Credit- 60000]",Software Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"The  front   desk  quantitative  developers  maintain  our   trading/research  capabilities  in  global   markets  andinnovate how we do them.Typical responsibilities include:1. Optimizing the performance of various components of the trading system;2. Maintaining, enhancing backtest simulator;3. Exploring big-data infrastructure for research;4. Execution algorithms research;5. High frequency strategy research",0.0,283,NO,,AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,1,Dynamic Technology Lab Pte Ltd,"75000 USD  [Quant developer: 65k base salary, 10k housing allowance and insurance, excluding bonus]",Front Desk Quantitative Developer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"Job description:The quantitative researchers design and backtest trading models, which form the most important elementsin the final trading strategies. They work in groups or independently, depending on the projects and/or theresearchers' preference. Creativity and innovation are what we are looking for in this position.Qualification:1.   Recent   Master/PhD   from   a   science,   engineering,   or   related   field.   Bachelors   with   exceptionalperformance will also be considered;2. Solid background in mathematics;3. Strong programming skills;4. Strong problem solving and quantitative skills;5. Possess the desire and will to learn complicated topics, to solve difficult problems, and to handle tedioustasks carefully;The following skills are bonus in recruitment and are required before on board:1. Comfortable with Linux/Unix;2. Familiar with at least one scripting language, e.g. python, awk, etc",0.0,283,NO,,AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,2,Dynamic Technology Lab Pte Ltd,60000 USD  [60000],Quantitative Researcher,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"Halma is looking for talented individuals with a Bachelors degree or higher in a technical, engineering or science field, who have the potential to be future leaders of our businesses. We will develop the right candidates into experienced executives. 

This leadership development programme offers full time salaried employment starting with 2 years training. 

Trainees will be given 18 - 24 months of rotational project placements, with responsibility for completing challenging projects at our operating companies. 

Projects will be in technical, operational, strategic and commercial areas, providing the trainee with wide range of experience early on in their career. 

The programme includes: 
- India based project placements 
- at least one placement overseas in UK, Europe, USA, South America or China
- a personalised programme tailored to candidates' needs and skills 
- commercial, operations and technical training 

In addition, we support trainees with three residential training modules and a mentoring programme. 

At the end of the HFL training period, successful trainees will be offered a permanent position aligned with their aspirations, at one of our operating companies.",0.0,285,No,,AE_BT_CH_CY_CE_CS_EE_EC_GG_IM_MA_ME_MT_MI_NA,1,Halma plc (rep Halma India),"2785000 INR  [CTC 30,00,000 (Details in attached PPT)]",Halma Future Leader - Graduate Trainee,"Resume,GD,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Will work on advanced data analytics projects to create Intellectual property including algorithms, integrations, and APIs, etc. as a part of a product development team.",,286,Bond/Service contract of 3 years,Willingness to relocate anywhere in the world on assignments for an extended period of time.,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,Express Analytics India Pvt Ltd,"1000000 INR  [Basic Salary, HRA, Medical Insurance, Etc.]",Data Scientist,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
a,,287,d,,,1,Consure Medical,1 INR  [d],a,Resume,0,PLACEMENT
"Responsibilities:
- Ability to code complex interfaces and interactions using Android Native mobile SDK.
-
 Ability to understand requirements and translate them to design and code. Ability to unit test self written co
de across all paths.
- Ability to track time and allocation for self & team.
- Ability to generate and consume requirements, design documentation for the application.
- Ability to fix defects allocated and bring them to successful closure.
- Strong debugging capabilities.
- Best works as an individual contributor.
- Inquisitive to keep oneself upto date on latest trends.
- Provide guidance to team on right usage of design patterns.
- Ability to multi-task; track and bring to closure their work allocations.
-
 Used open source components like itext, androidplot. Open to exploring and including opensource compon
ents after approval into solution. Hands on experience on libraries like retrofit/Volley.
- A good team player, with good communication skills.
- Understand, appreciate, contribute to complete mobile application development lifecycle.",,288,No,,AT_AE_ET_CE_CS_EE_EC_ES_TE_IM_MS_MA_ME_MT_NA_RE,4,IIFL,900000 INR  [900000],Android Developer,Resume,0,PLACEMENT
"About NoBroker.com

NoBroker is disrupting the Real Estate industry by connecting property owners and tenants, buyers, and sellers directly with each other with the help of technology. Our mission is to make real estate transactions convenient and brokerage-free for everyone across India.

NoBroker is India's first AI-driven broker-free property portal. With a cumulative 7 million customers, it has grown 4X in the last one year. We currently save our customers over 1000 crores per year in brokerage. We have over a million user-searches and capture close to a billion clickstream messages daily.

NoBroker was founded by IIT Bombay, IIT Kanpur & IIM Ahmedabad alumni in 2014 and have raised $121M till date by marquee investors such as General Atlantic, Tiger Global, Saif Partners who are known for their tech investments across the globe and have invested in companies like Facebook, Flipkart to name a few.

Role:
1. You will be understanding our customer's requirements through primary and secondary research.
2. You will be initiating lead development of the product and feature roadmap
3. You will be Preparing/Identifying, conceptualizing and prototyping our several customer's engagements through apps and websites.
4. You will be helping us in improving operations and setting new business goals by designing/improving processes.
5. As part of the product team of NoBroker, you will be having a lot of interactions with business, operations, and customer servicing team.
 
Responsibilities:

1. You will be responsible for driving new feature development from start to finish - write specs,
2. work cross-functionally with the engineering team, design our data to launch features, analyze results and make iterations.
3. You will be playing a key role in owning the strategy, roadmap, and KPI for a key product area.
4. Preparing roadmaps for product features and ensure time to market is achieved by resource, planning in advance.
5. Take logical, data-driven decisions on product features which are highly influenceable on customer engagement and conversion
6. Take the consumer experience to the next level by building a world-class product.

Skill:
1. Ability to understand the customer pain point and a strong desire to solve the problem in the best possible/innovative way Experience with data analysis.
2. Passion for user experience, design, and experimentation
3. Self-confidence, go-getter attitude and a great team player
4. Ability to learn and pick up new tools and technologies to help the team deliver.
5. Familiarity with programming and software development process is a must-have along with the ability to understand consumer behavior and requirements.
6. Ability to suggest and consider alternative solutions to any given problem and Identify bottlenecks and help the team to resolve issues",,289,No,,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,4,NoBroker Technologies Solutions Private Limited,"2023088 INR  [Item                               Annual(INR)    
1.Basic Salary                 4,80,000          
2.House Rent Allowance 1,92,000         
3.Transport Allowance     1,29,600      
4.Special Allowance        3,76,800          
5.Employer PF                 21,600           
Gross Salary                    12,00,000       
6.Employee Stock Options 6,00,000
Addition - Performanace bonus - 2,00,000
7.Gratuity 4.81% of Basic 23,088

Total CTC 20,23,088]",Associate Product Manager,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"About NoBroker.com

NoBroker is disrupting the Real Estate industry by connecting property owners and tenants, buyers, and sellers directly with each other with the help of technology. Our mission is to make real estate transactions convenient and brokerage-free for everyone across India.

NoBroker is India's first AI-driven broker-free property portal. With a cumulative 7 million customers, it has grown 4X in the last one year. We currently save our customers over 1000 crores per year in brokerage. We have over a million user-searches and capture close to a billion clickstream messages daily.

NoBroker was founded by IIT Bombay, IIT Kanpur & IIM Ahmedabad alumni in 2014 and have raised $121M till date by marquee investors such as General Atlantic, Tiger Global, Saif Partners who are known for their tech investments across the globe and have invested in companies like Facebook, Flipkart to name a few.
 
Associate Data Scientist

Our Data Science & Machine Learning Team is growing and looking for Associates with a proven track record in the field. 
 
NoBroker's mission is to solve real estate. We design and deploy some of the best AI systems in the domain. Being the largest C2C real estate marketplace, we have GigaBytes of data flowing to us every day. This includes voice, image, text, event streams, etc. We believe this data to be the most powerful asset of our business and we are constantly looking out for ways to mine this data to bring value to our users and our business.
 
As an Associate Data Scientist, you will be working closely with the Data Science & Engineering Team to build systems powered directly by data. You will implement Automation Systems, Recommendation Engines, Prediction Engines, etc. which will be powered by ML Algorithms.
 
If this is where you find yourself fit in, then let us know!
 
Job Description:

1. You will be working closely with the Data Science & Machine Learning Team solving problems involving large sets of data. The problems will be applied and oriented towards shipping for production.
2. You will work on large sets of data in distributed large scale systems.
3. You will require to demo & communicate results clearly and effectively to the management.
4. You will be working with versatile sets of data including tabular, images, text, geospatial & audio.
5. You will code logics and algorithms efficient and fast with great readability, reusability, and modularity, that will be going in production directly impacting millions of our users.

Qualification:

1. Engineering background with adept mathematical & programming experience in C++ & Python.
2. Relevant Projects/Internship/OpenSource contributions in the field are a must.
3. Versatile problem solver, equipped with strong analytical and quantitative skills suited to approach various kinds of challenges in complex environments.
4. Self Starter with a strong technical orientation
5. Strong coding skills and hands-on data experience
6. Understanding of Machine Learning basics both classical and deep.
7. Basic understanding of NLP, Vision & Speech problems in Machine Learning, Of course, you are a great teammate with excellent interpersonal skills.",,289,No,,AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_TE_HS_IM_MA_ME_MT_MI_NA_PH_RE,5,NoBroker Technologies Solutions Private Limited,"2023088 INR  [Total CTC 20,23,088 
Gross CTC - 14 LPA
Employee Stock Options 6,00,000
Gratuity 4.81% of Basic 23,088]",Associate Data Scientist,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"About NoBroker.com
--------------------
NoBroker is disrupting the Real Estate industry by connecting property owners and tenants, buyers, and sellers directly with each other with the help of technology. Our mission is to make real estate transactions convenient and brokerage-free for everyone across India.

NoBroker is India's first AI-driven broker-free property portal. With a cumulative 7 million customers, it has grown 4X in the last one year. We currently save our customers over 1000 crores per year in brokerage. We have over a million user-searches and capture close to a billion clickstream messages daily.

NoBroker was founded by IIT Bombay, IIT Kanpur & IIM Ahmedabad alumni in 2014 and have raised $121M till date by marquee investors such as General Atlantic, Tiger Global, Saif Partners who are known for their tech investments across the globe and have invested in companies like Facebook, Flipkart to name a few.

Responsibilities:

Building robust, secure, high-volume performing, scalable microservices that operate 24*7 to power NoBroker platform for end customers.
Responsible for implementing RESTful services, latest frontend MVC frameworks, native apps for android & IOS and part of building core frontend frameworks, with metric-driven KPIs.
Produce high-quality software that is unit tested, code reviewed and checked in regularly for continuous integration.
Working closely with other team members to develop reusable UI components.
Working closely with our product team to build new and compelling experiences for our customers
 
Requirements:

RequirementApplicant should have minimum knowledge on any one of these C C++ Java technologies.
Should be able to handle the Projects.
Candidates with excellent communication skills.
Good knowledge of software Technologies,
Analytical and Problem-solving skills and have the interest to learn.
Background knowledge with frontend technology like javascript and jquery.
High adaptability in a dynamic start-up environment.",,289,No,,AT_AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH_RE,6,NoBroker Technologies Solutions Private Limited,"2023088 INR  [2023088 INR [Total CTC 20,23,088 Gross CTC - 14 LPA Employee Stock Options 6,00,000 Gratuity 4.81% of Basic 23,088]]",Software Development Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"A fast track technology leadership program, specially crafted to identify and groom high caliber students with the potential to become FUTURE LEADERS. STAR hires are groomed for higher responsibilities to lead the next spurt of growth at Wipro. STAR Hiring is our Premier Hiring program which focus on to nurture future technology leaders on fast track mode with focused mentorship. 
 The Fast-track Development Program is planned with multifaceted training interventions, domain exposure in challenging projects, exposure to new edge technologies, while being guided and supported by mentors. This accelerated development program truly transforms new recruits, giving them the hands-on experience and confidence they need to take on the responsibilities of a future leader much earlier than their peers do.

As an engineer your overall focus is on addressing customer requirements on time by following best in class Wipro processes and adopting right technology advances. You could work on enhancements to existing products as well as new product development. This requires an individual to be creative, a quick learner and driven to produce results  


Important Focus areas are :

	Good Knowledge of programming language such as Core Java, C/C++, C#, .Net, Web services, HTML5 
	System programming on OS such as Linux, Windows, RTOS 
	Automation using scripting languages such Perl, Python etc
	Able to think differently and having an inclination on innovative thinking 
	Ability to analyze quantitative data and process information and solve problems. 
	Ability to work in a team structure. Good team player with interpersonal skills and positive attitude",0.0,290,No,,AE_CE_CS_EE_EC_IM_ME,1,Wipro,1100000 INR  [INR 11 lakhs (10 Lakhs + 1 Lakh  Retention Bonus paid after 1 year  completion and merged to CTC after 1 year)],PROJECT ENGINEER,Online/Offline test (Max 30 mins),1,PLACEMENT
"Development and delivery of tangible consumer benefits through the product or service of the
business.
Managing team and following Agile practices for team.
Research on consumer, market, and competitive intelligence.
Measuring and monitoring product performance.
Product Management operations like requirement gathering and scope definition.",,291,2 months Notice Period,,AT_AE_AG_AR_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_RT_WM_RE,1,AthenasOwl - Quantiphi Analytics Solutions Pvt. Ltd,850000 INR  [8.50 (7.50 Fixed + 1 Lac Performance Linked Bonus)],Product Analyst,"Resume,GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
" Take ownership for enhancing the customer experience, assisting customers by utilizing consultative
selling practices and guidelines to identify their needs and provide appropriate solutions
 Manage communication & relationship with customers, prospects and partners and maintain high
levels of customer satisfaction
 Prepare and explain products, solutions or services to a variety of audiences
 Develop sales collaterals(Business and technical presentations, Point of views, solution approaches
etc.,)
 Engage & drive end-to-end pre-sales activities for the company in Data Science & Applied AI domain.
 Work closely with cross functional teams (Solution Architects, Engineering team and other sales
support teams) towards meeting customer requirements",,291,2 Months Notice Period,,AT_AE_AG_AR_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_RT_MM_WM_RE,2,AthenasOwl - Quantiphi Analytics Solutions Pvt. Ltd,850000 INR  [7.50 Fixed + 1 Lac Performance Linked Bonus],Sales Engineer,"Resume,GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
" Recognize improvement opportunities and streamlining internal and external reporting
 Defining, translating and simplifying business requirements and reporting them back to the stakeholders
 Manage a projects scope, acceptance, installation and deployment
 Conduct workshops and training sessions
 Drive change management
 Managing scrum processes: daily scrum, sprint planning, demo and retrospective meetings",,291,2 Months Notice Period,,AT_AE_AG_AR_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_RT_MM_WM_RE,3,AthenasOwl - Quantiphi Analytics Solutions Pvt. Ltd,850000 INR  [8.50 (7.50 Fixed + 1 Lac Performance Linked Bonus)],Project Analyst,"Resume,GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
"-Designing and developing machine learning and deep 
  learning systems
- Running machine learning tests and experiments
- Implementing appropriate ML algorithms
- Understanding and adopting cloud technologies for 
  development, deployment and tracking purposes
- Keep abreast of developments in the field",,291,2 Months Notice Period,,AT_AE_AG_AR_BT_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_RT_WM_RE,4,AthenasOwl - Quantiphi Analytics Solutions Pvt. Ltd,950000 INR  [9.50  (8.50 Fixed + 1 Lac Performance Linked Bonus)],Machine Learning Engineer,"Resume,GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
We will have a standard aptitude and coding test based on which we will decide the job profile for which we would be hiring out of the mentioned roles.,,293,No,,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,Optym,10 INR  [10],Software Engineer (DB/UI/Full stack/Back end),"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"We are looking for fresh bright minds, to join us, in taking our technologies and products to the next generation, delighting our customers across the globe  Be it the car, home, work or on the go! 	Engage in product design working together with global professionals, to bring ideas/customer requirements into reality 
	Implement and unit-test the design using programming languages such as C, C++ (and in some areas Java, or other emergent languages)",,294,No,,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,Harman International,1500000 INR  [1500000],Associate Engineer/Engineer-1,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
Food Technology support for Innovation Projects,,295,NO,Confirmation after one year subject to performance,AG,1,Buhler (India) Pvt. Ltd.,"1000000 INR  [CTC 1000000, Fixed 800000]",Trainee Engineer,Resume,0,PLACEMENT
"See attached JDs - Software Engineer II, .Net Azure | Engineer II - Software Development, Full stack Developer | Consultant, UI/ UX Designer | Consultant, Testing",0.0,296,18 months,,AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_ID_RT_MM_WM_RE,1,Genpact,"1000000 INR  [Fixed Pay - 1,000,000 | Variable (annual performance bonus) -   50,000 -85,000 | Total Cash - 1,050,000-1,085,000 | DIP to be merged in base pay after 24 months - 200,000 | JB to be paid in 3rd payroll (18 months lock in) - 100,000 | Total - 1,350,000-1,385,000]",Consultant,Online/Offline test (Max 30 mins),1,PLACEMENT
"Headquarted at Singapore and with 8 offices around the world, we are a multicultural team with an emphasis on diversity and equal opportunity. At Deskera, we have demonstrated exponential growth in the last few years and we owe it all to our highly energetic and driven team. We believe in curating talent and defining careers. As we further expand our reach, we are looking to work with talented and passionate developers. 
We are building a world class team and we look forward to doing it with world class people !!!
You will be:
	Planning and building products in their entirety involving framework decisions, libraries, & tools for building the current state of the art applications.
	Designing and developing high performance and scalable applications which will be used by millions of users.
	Analyzing requirements, carrying out development, unit tests, bug fixing and maintenance of modules independently.
	Taking on Design, Code & Test assigned tasks / activities
	Building APIs
	Collaborating within and across groups in writing functional and design specifications, development schedules and user interface specifications

About You:
	You must be willing and able to learn new tools/technology.
	You must have excellent analytical and problem solving skills.
	You must be collaborative and adaptable to change.
Location of posting for Software Developer (full-time position): SINGAPORE",,297,1 year,,CS_EE_EC_MA,1,Deskera Singapore Pte Ltd,3250000 INR  [3500000  (65K SGD (fixed) + 5K SGD (Year-End Bonus)],Software Developer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"1.Design and development of state of the art Analog and Mixed Signal IPs (variety of technologies).
2.Design of blocks and IPs and PLS analysis and verification
3.Design Documentation 
4.Design reviews
5.B.E./B.Tech./M.E./M.Tech./Ph.D in Electronics/VLSI

Min CGPA - Btech : 7 and Mtech/PHD 7.5 above",,298,No,,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,1,STMicroelectronics,1173520 INR  [1601441],Design Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
"As a Software Developer with BeeHyv, You  will work with its customers, who are start-ups and established product firms in building new products.  BeeHyv primarily works on Java and Python stacks but also uses other technology stacks based on requirements of customers.  As a developer, you will be expected to be quick and nimble in learning new technologies. 
        Design, develop, test, deploy, maintain, support and improve software.
        Manage individual project priorities, deadlines and deliverables.
        Work in one or multiple projects and deliver results
        Be versatile and enthusiastic to tackle new problems across different technologies
   You should be willing to be a full stack developer and be proficient in both backend and UI technologies.",0.0,299,"Yes, Non-disclosure and confidentiality agreement to be signed at the time of joining.  If an employee leaves between 6 months to 1 year of joining the company, they have to pay back 3 months of their salary. If an employee leaves before 6 months of joining, they have to pay back 75% of the total salary paid by the company to the employee.",We will conduct 2 hrs of aptitude test which will be a pen and paper test. The shortlisted candidates will have to go through interview process and the minimum interview time will be 2 hrs,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,BeeHyv Software Solutions Pvt Ltd,"600000 INR  [CTC 630000[ Rs. 6,00,000 (fixed) + Rs.10,000 (other benefits)+ Rs.20,000 (Variable Bonus)]]",Developer Trainee,Online/Offline test (Max 30 mins),1,PLACEMENT
"As a Software Developer with BeeHyv,you will undergo training on Java/Python and web programming.  You  will work with its customers, who are start-ups and established product firms in building new products.  BeeHyv primarily works on Java and Python stacks but also uses other technology stacks based on requirements of customers.  As a developer, you will be expected to be quick and nimble in learning new technologies. 
        Design, develop, test, deploy, maintain, support and improve software.
        Manage individual project priorities, deadlines and deliverables.
        Work in one or multiple projects and deliver results
        Be versatile and enthusiastic to tackle new problems across different technologies
   You should be willing to be a full stack developer and be proficient in both backend and UI technologies.",0.0,299,"Yes, Non-disclosure and confidentiality agreement to be signed at the time of joining.  If an employee leaves between 6 months to 1 year of joining the company, they have to pay back 3 months of their salary. If an employee leaves before 6 months of joining, they have to pay back 75% of the total salary paid by the company to the employee.",We will conduct an aptitude test and the duration of the test will be 2 hrs. We will also conduct a programming test and the duration of the test will be 1 hr. Both the tests will be pen and paper tests. The shortlisted candidates will have to undergo a personal interview which will be minimum of 2 hrs.,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,BeeHyv Software Solutions Pvt Ltd,"800000 INR  [830000 [ Rs. 800000 (fixed) Rs.10,000(other benefits)+ Rs,20,000(Variable Bonus)]]",Developer- Trainee,Online/Offline test (Max 30 mins),1,PLACEMENT
Creating a platform to support the integration of custom made client based UI to the existing ML Modules using SaaS architecture,,300,NO,,AT_AE_AG_AR_BT_ET_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_WM_RE,1,Finmee Technologies Pvt Ltd - NTWIST,"600000 INR  [Basic Salary = 30000
HRA = 12000
Convenyance = 1600
Medical Allowance = 2500
Special Allowance = 3900
Equity = Based on performance]",Product Development Engineer,"Resume,GD,Online/Offline test (Max 30 mins)",0,PLACEMENT
