about,address,category,city,com_id,company,country,employees,reference,sector,status,turnover,website,zipcode
"
Amplus is a technology-enabled energy company that is shaping the future of energy for the world. Founded in 2013, Amplus is transforming the sector with its digitization philosophy made possible through a unique mix of next generation data science and operational excellence. The company has seen multi-fold growth in its short 4-year history and aspires to continue doing that for the coming years. Amplus is a leader in providing distributed solar and energy solutions to industrial and commercial customers in India. Amplus is the pioneer in using dedicated state of art remote monitoring and SCADA system providing fully integrated design, procurement, installation, project management, commissioning, and maintenance solutions. Commanding one of the largest portfolios across diverse verticals, Amplus is fiercely devoted to deliver end to end service and guaranteed savings for its clients. For more information, visit www.amplussolar.com
","
6th Floor, The Palm Square, Sector 66
","
Private
",Gurgaon,152,Amplus Energy Solutions Private Limited (A Member of PETRONAS Group),India,"
Between 100 to 500
","
Alumini Contact
","
Others
",0,"
Between 100 to 500
",https://amplussolar.com/,122102
"
Tata Projects is one of the fastest growing and most admired infrastructure companies in India. It has expertise in executing large and complex urban and industrial infrastructure projects.
The company provides turnkey solutions for the construction of roads, bridges, fully integrated rail & metro systems, commercial building & airports and setting up power generation plants, power transmission & distribution systems, chemical process plants, water and waste management and complete mining and metal purification systems.
The company is driven to deliver projects on time using world-class management techniques and has uncompromising standards of safety and sustainability.
Over the years, Tata Projects has grown from a turnover of INR 34,440 million in FY 2015 to INR 1,30,000 million in FY 19 (Projected).
","
Tata Projects
","
Private
",Mumbai,153,Tata Projects,India,"
>5000
","
Contacted by CDC
","
Construction
",1,"
>5000
",www.tataprojects.com,400076
,"
Bajaj Auto Ltd, Near Pune Mumbai Highway, Akurdi, Pune 411035
","
Private
",Pune,154,Bajaj Auto Ltd,India,"
>5000
","
Contacted by CDC
","
Automobile
",1,"
>5000
",www.bajajauto.com,411035
"
Investing globally, Capital Dynamics is Asias first global investment house with offices in
Kuala Lumpur, Singapore, Sydney, Hong Kong and Shanghai. Led by Tan Teng Boo, it is
the first Asian fund manager to obtain the Australian Financial Services Licence, the first
ASEAN fund manager to obtain Hong Kongs retail Type 9 licence and is also Malaysias
first independent investment adviser.
We are regulated by the Australian Securities and Investments Commission, the
Monetary Authority of Singapore, Malaysias Securities Commission and the Securities &
Futures Commission of Hong Kong.
As a fund manager, we serve our clients in two ways: 
1) Individually managed accounts for individuals, corporations, and institutions. 
2) The i Capital family of managed funds accessible to retail, corporate and institutional investors.
Our investment advisory service is provided in English and Chinese via the i Capital, a weekly investment publication, and
through digital platforms, i.e. www.icapital.biz and its mobile apps.

Our philosophy is premised on our 3 is  Independence, Intelligence, Integrity
","
16th Floor, Plaza First Nationwide
","
MNC
",Kuala Lumpur,155,Capital Dynamics group,Malaysia,"
Between 50 to 100
","
Contacted by CDC
","
Finance
",1,,www.capitaldynamics.biz,603 2070 2104
"
EXL is an established leader in the analytics domain with a consistent industry beating growth record over the last few years. Our Analytics services portfolio contributes to ~35% of the overall $883Mn revenues earned in FY2018. By virtue of its continued emphasis on strategic acquisitions in analytics product portfolio, EXL has been recognized as a leader and a star performer by majority of analyst groups like Everest, IDC, HfS, and at forums like NASSCOM
","
4th Floor, Tower C&D, Building no.14, DLF Cybercity
","
Private
",Gurgaon,156,EXL Service,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Analytics
",1,"
Between 1000 to 5000
",www.exlservice.com,122002
"
FCS Software Solutions Limited is an IT Company providing IT and IT enabled services. The company has strong delivery capabilities in Application development and maintenance, eLearning and Digital Content Management, Software testing, Infrastructure management services, Product Development, and primarily has done work to develop data centers, e-commerce portals, packaged application support, FPGA based accelerated computing environments, IT Separation projects, and now artificial intelligence and machine learning.
","
FCS House, Plot No. 83, NSEZ, Noida-Dadri Road, Phase-II, Noida, Uttar Pradesh 201301
","
Private
",Ghaziabad,157,FCS Software Solutions,India,"
Between 500 to 1000
","
Self
","
Finance,Analytics,Consulting
",0,"
Below 50
",fcsltd.com/,201301
"
About Udaan:
UDAAN is about making business easy in India, about making B2B commerce convenient and efficient. We believe B2B is the new B2C in India.
India has 50m+ SMBs, who form core of Indian economy and society. They are the entrepreneurial pulse of India. We believe internet is a great equalizing platform and aspire to bring our energies together in the bringing power of Internet to these millions of entrepreneurs.
At Udaan we are looking to create a fundamentally disruptive value proposition for small and medium businesses across India. We are a B2B trade platform for small & medium businesses in India, we bring traders, wholesalers, distributors, retailers and manufacturers in India on to a single platform. 

Founders Profile:

Amod Malviya: Alumnus of IIT Kharagpur. Ex CTO at Flipkart. He was responsible for building Flipkart's Tech stack across functions from scratch. He is one of the most renowned leaders in the tech space in India, and is a major proponent of Open source.

Sujeet Kumar: Alumnus of IIT Delhi. Ex-President (COO) at Flipkart. Third Employee at Flipkart and established the business from scratch. He led business, and supply chain and was responsible for introducing COD in India and also set up Flipkart's own supply chain network Ekart

Vaibhav Gupta: An alumnus of IIT Delhi and Darden School of Business. Ex McKinsey and Ex SVP Finance, Analytics and Strategy at Flipkart. Led Product, Supply chain, business finance and strategy. Was responsible for fund raising.
","
No. 1090, 18th Cross, 14th Main, Sector 3, HSR Layout, Bangalore
","
StartUp
",Bangalore,158,Udaan,India,"
Between 500 to 1000
","
Self
","
Ecommerce
",1,,www.udaan.com,560102
"
Deutsche Bank provides commercial and investment banking, retail banking, transaction banking and asset and wealth management products and services to corporations, governments, institutional investors, small and medium-sized businesses, and private individuals. Deutsche Bank has a presence in over 70 countries, significant regional diversification and substantial revenue streams from all the major regions of the world.
","
Nirlon Knowledge Park, Goregaon East
","
MNC
",Mumbai,159,DEUTSCHE BANK- DEUTSCHE CIB CENTRE PRIVATE LIMITED,India,"
>5000
","
Self
","
Finance
",0,"
>5000
",www.db.com,400063
,"
Survey No.143/1, Bangalore East, Varthur Hobli, Amani Bellandur Khane, Karnataka 560103
","
MNC
",Bangalore,160,Western Digital,India,,"
Self
","
Core Engineering
",0,,https://www.westerndigital.com/,560037
"
Rupeek is a Bengaluru based leading fintech start-up. Started as an asset-backed online lending
platform, Rupeek is aiming to disrupt the traditional brick and mortar lending models. Since our public
launch in 2015, weve cemented our position as the No.1 fintech startup in consumer lending space.
We are Series-B funded, backed by top-tier investors. We are using the scale of the web and advances in
computing, big data, machine learning and mobile to bring transformative financial innovation to the
market. Our current engineering challenges are in the areas of credit risk modelling, fraud detection and
automation of lending processes.
","
Shubham Complex, 45/B, 1st Main Road, Sarakki Industrial Layout, 3rd Phase, JP Nagar
","
StartUp
",Bengaluru,161,Rupeek Fintech Private Limited,India,"
Between 500 to 1000
","
Self
","
IT/Software
",0,,https://rupeek.com/,560078
,"
Building 2B, 9th Floor, Raheja Mind Space, Hitech City, Hyd-81
","
MNC
",Hyderabad,162,Qualcomm India Pvt Ltd,India,,"
Self
","
Core Engineering
",1,,www.qualcomm.com,500081
"
We build software that drives the business of our customers; enterprises and software product companies with software at the core of their digital transformation.
","
Aryabhata- Pingala, 9A/ 12 Erandwana CTS No 12A / 12Pune 411004 India
","
MNC
",Pune,163,Persistent Systems Limited,India,"
>5000
","
Contacted by CDC
","
IT/Software
",1,"
Between 1000 to 5000
",www.persistent.com,411004
"
Indus Insights is a Data Science consulting firm focused on the Financial Services sector. We help organizations optimize their marketing spend, manage their credit losses, and anticipate their customer needs. We achieve this by combining sophisticated Data Science & Machine Learning techniques with a deep expertise of the Financial Services industry. Our clients are in North America, Australia, UK, and Asia, and include multinational banks, fintech companies, credit unions, specialty lenders, and insurance firms. We are intensely focused on driving results for our clients and have a track record of delivering 10x or better ROI for them. Not surprisingly, our clients tend to describe us in superlatives!

We believe that our continued success comes from having an amazing team and a unique culture. Our team consists of some of the brightest brains in India that have been hand selected through a rigorous selection process. This team operates in a culture that reinforces a drive to learn, encourages people to question the status quo, and commits us to the language of data & logic. 

Indus Insights is VC-funded, ISO-27001 certified, and our leaders are often quoted by leading global publications such as Forbes, CIO magazine, VentureBeat, Fox Business, Information Week, etc. 

For more information about us, please visit our website: www.indusinsights.com
","
No. 805, 806, Tower A, Spaze iTech Park, Sohna Road, Sector 49, Gurugram, Haryana 122002
","
Private
",GURGAON,164,Indus Insights,India,"
Between 50 to 100
","
Self
","
Finance,Analytics,Consulting
",0,,http://www.indusinsights.com/,122001
"
Quadeye is one of the largest India-based proprietary trading firms. Since inception, we have consistently grown at a handsome rate and have a distinct track record of success behind us. We run a stable business spread globally across various asset classes. Our greatest strength is our work culture which takes a collaborative and non-hierarchical approach against an opposing prevalence in the industry. We strive as one team to stay ahead of the competition all the time
","
QE Securities LLP, 9th & 10th Floor, DLF Plaza Tower, Sector 26 A, DLF City Phase 1, Gurgaon-122002, haryana
","
Private
","Gurgaon, India",165,Quadeye,India,"
Between 50 to 100
","
Contacted by CDC
","
IT/Software,Finance
",1,,https://www.quadeyesecurities.com/,122002
"
American Express is a global services company that provides consumers and businesses with exceptional access to products, insights and experiences that enrich lives and build business success.
","
American Express India Campus, DLF Phase 5, Golf Course Road, Sector 43
","
MNC
","Gurgaon, Haryana",166,American Express,India,"
>5000
","
Self
","
Finance
",0,"
>5000
",https://www.americanexpress.com/in,122003
"
Morgan Stanley is a financial services corporation that, through its subsidiaries and affiliates, advises, and originates, trades, manages and distributes capital for governments, institutions and individuals. The company operates in three business segments: Institutional Securities, Wealth Management, and Investment Management.
","
Athena, Bldg. No. 5, Malad, Goregaon (W), Mindspace, Sector 30
","
MNC
",Mumbai,167,Morgan Stanley,India,"
>5000
","
Contacted by CDC
","
Finance
",1,"
>5000
",www.morganstanley.com,4000090
,"
","
",,168,Livspace.com,,,,"
",0,,,
,"
4/1 IBC Knowledge Park, Bannerghatta Road
","
Private
",Bengaluru,169,ACCENTURE SOLUTIONS PVT LTD,India,"
>5000
","
Self
","
Analytics
",1,,https://www.accenture.com/in-en/careers,560029
"
Texas Instruments Incorporated is an American technology company that designs and manufactures semiconductors and various integrated circuits. TI is one of the top-10 semiconductor companies worldwide, based on sales volume and is focused on developing analog chips and embedded processors, which account for more than 80% of their revenue. TI has been a pioneer in many innovations in the semi conductor domain including the development of the first integrated circuit;the first patent on a single-chip microprocessor, the first single-chip linear predictive coding speech synthesizer, developing prototype of the world's first transistor radio and the invention of the digital light processing device (also known as the DLP chip), which serves as the foundation for the award-winning DLP technology and DLP Cinema (used in IMAX theatres) and many more. TI India was set up in 1985 and hasR&D presence for all the major business units of TI including Analog - (Data Converters, Amplifiers, Clocks & Synthesizers, Motor Drives, Power Management ) and Embedded Processors (Connected Microcontrollers, Radar, ADAS- Advanced Driver Assistanceand Infotainment Processors etc.) and caters to products for different market segments - Industrial, automotive, personal Electronics, Communication and Enterprise.
","
66/3, Bagmane Tech Park CV Raman Nagar Bangalore
","
MNC
",Bangalore,170,Texas Instruments,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Core Engineering
",1,"
>5000
",www.ti.com,560093
,"
Philips Innovation Campus,Manyata Tech Park, Nagavara
","
Private
",Bangalore,171,Philips Innovation Campus,India,,"
Self
","
Health Care
",0,,https://www.philips.co.in/,560045
,"
RMZ Ecospace
","
Private
",Bangalore,172,Microland Ltd.,India,"
Between 1000 to 5000
","
Self
","
IT/Software
",0,,www.microland.com,560102
"
Business needs three levers to grow: information, communicationand action. But in the digital age, incremental growth takes you nowhere. You need next-level growth. Racetrack sees three ingredients for next-level growth: spotting complex patterns, serving customers intelligently,and scaling up faster. Humans cant always do that alone. Thats why we use AI to help our clients gain competitive advantage.
","
75/B Windsor F4, 3rd Floor, Hulimavu, bannerghatta road
","
StartUp
",Bangalore,173,Racetrack.ai,India,"
Between 50 to 100
","
Contacted by CDC
","
IT/Software
",0,"
Between 50 to 100
",www.racetrack.ai,560076
"
Happay is a fast-growing Indian FinTech company based out of Bangalore. Happay redefines the way SMEs and Enterprises manage their business spends. With the help of technology, Happay helps organizations break loose from the shackles of manual and paper-based processes and empowers them with mobility and automation. Our product is loved by 4500+ businesses across 40+ industry verticals.
","
HAPPAY,3rd floor, Delta Block, Sigma soft tech park, Varthur Main road, Ramagondanahalli, Whitefield
","
Other
",Bangalore,174,VA Tech Ventures (HAPPAY),India,"
Between 100 to 500
","
Alumini Contact
","
Finance
",0,,www.happay.in,560066
,"
","
",,175,Times Internet Limited,,,,"
",0,,,
"
Its the chance to collaborate with bright, passionate people. Its contributing to software products that make a difference in the world. And its being part of a company with an incredible commitment to doing the right thing  for each individual, our customers, and the local community.

MathWorks develops MATLAB and Simulink, the leading technical computing software used by engineers and scientists. The company employs 4500 people in 16 countries, with headquarters in Natick, Massachusetts, U.S.A. MathWorks is privately held and has been profitable every year since its founding in 1984.
","
MathWorks India Pvt Ltd, Salarpuria Sattva Knowledge City, 2nd and 3rd Floors, Octave Block, Raidurg, Hyderabad  500 081
","
Private
",Hyderabad,176,MATHWORKS INDIA PVT LTD,India,"
Between 100 to 500
","
Contacted by CDC
","
IT/Software
",1,,www.mathworks.com,500081
"
Athancare (Unit of AthanSys Healthcare Solution Pvt. Ltd.) is a start-up venture which aims to revolutionize the health-care industry by providing state-of-the-art technology to its client. Our product is built upon a SaaS platform which is seamlessly integrated into the existing system to improve user efficiency, the doctor-patient relationship, and record management.
","
Sho no 7, plot - 4, Sector 1 - Vaishali
","
StartUp
","Ghaziabad, UP",177,AthanSys HealthCare Solution Private Limited,India,"
Below 50
","
Contacted by CDC
","
IT/Software,Health Care
",0,"
Below 50
",www.athancare.com,201010
,"
","
",,178,"Analog Devices India Pvt. Ltd.,",,,,"
",0,,,
,"
placecom
","
Government
",placecom,179,placecom,placecom,"
Below 50
","
Self
","
Core Engineering
",0,"
Below 50
",placecom,placecom
,"
Axis Bank Limited, Corporate Office, Bombay Dyeing Mills Compound
","
Other
",Mumbai,180,Axis Bank,India,"
>5000
","
Self
","
Others
",1,,https://www.axisbank.com/,400025
,"
","
",,181,UIDAI,,,,"
",0,,,
,"
","
",,182,NAPL,,,,"
",0,,,
"
The IEM group is an acclaimed educational group amongst the industry-centred academic training organisations of today. IEM has set sublime standards in addressing the technical and managerial resource shortage in the new era of dynamic globalisation. The IEM group has risen to fame for its strong foundation in teaching and R&D in multifaceted areas. It aims to serve the future generation as well as the Nation through its commitment towards self sufficiency and unmatchable excellence. 
Since its inception, the IEM group has surpassed innumerable benchmarks of achievements and accreditations. Today IEM flaunts a colossal network of expansive operations led by an awe-inspiring student force who are the torchbearers of a better tomorrow.The IEM Group has opened up the doors for young minds who dare to dream. It encourages the spirit of free enquiry and imagination. In this temple of learning, dreams take shape. The educational group attempts to inculcate the sense of human values and discipline in students to make them respectable human beings.It encourages learners to learn, to realize their potential and imbibe the best practices.
i)IEM has been ranked A Category by NAAC (National Assessment and Accreditation Council)
ii)IEM has won the title of the Jewel of the East by Telegraph
iii)IEM has ranked the 3rd best engineering college in West Bengal after IIT Kharagpur and NIT Durgapur by NIRF (National Institutional Ranking Framework), Ministry of HRD, Govt of India, and 79th all across India, where all IITs, NITs
iv) IEM has won the title of Picture Perfect by ABP Group
v) IEM has achieved the best institute of India in Star News Award
vi)UEM Jaipur won the Education Excellence Award from Competition Success Review in 2017
vii)UEM Jaipur won the International Best Engineering Institute Award under the Education Leadership Program of Golden give Tigers Award, 2017
viii)UEM Kolkata has won AAA category (first 10 institutes nationally among all institutes of India including all IITs and NITs) in NPTEL program (IIT Kharagpur and IIT Chennai)
ix)UEM Kolkata student has stood 1st amongst all students of India in NPTEL program
x) UEM Jaipur and UEM Kolkata organized UEMCON-2016 in Columbia University, New York, USA in association with IEEE New York, IEEE USA and IEEE Region 1
xi) The educational group has one of the strongest Placement Cells in the country. Right from its inception both IEM and UEM have provided for 1 to 2 jobs on an average for all its students. The same story has been repeated even in the year 2016 with all students of both IEM and UEM getting 1 to 2 job offers on average.
","
Y12 Electronics Complex
","
Private
",Kolkata,183,Institute of Engineering & Management,India,"
Between 100 to 500
","
Contacted by CDC
","
IT/Software,Teaching / education
",1,"
Between 100 to 500
",www.iem.edu.in,700091
"
nference with its AI- driven platform, is pioneering the way researchers tap into the collective intelligence of the biomedical community, not merely access available data. 
This is a multi-billion-dollar market and two of the top ten pharmaceutical companies have already placed their trust in nference to synthesize the worlds biomedical knowledge for advancing their research and drug development. The nference team is comprised of ~60 Havard -MIT trained computer scientist and biologists who are driven by the mission to use Artificial Intelligence and Machine Learning for improving healthcare.
","
2nd Floor, Indiqube Golf View Homes, 3rd Cross Road, S R Layout, Wind Tunnel Road, Murugeshpalaya,
","
StartUp
",Bangalore,184,Nference Labs Private Limited,India,"
Below 50
","
Alumini Contact
","
IT/Software
",0,"
Below 50
",nference.ai,560017
,"
","
",,185,SL4 Technology India Pvt. Ltd.,,,,"
",0,,,
"
Gartner, Inc. (NYSE: IT) is the worlds leading research and advisorycompany and a member of the S&P 500. We equip business leaders with indispensable insights, advice and tools to achieve their mission-critical priorities today and build the successful organizations of tomorrow. Our unmatched combination of expert-led, practitioner-sourcedand data-driven research steers clients toward the right decisions on the issues that matter most. We are a trusted advisor and anobjective resource for more than 15,600 organizations in more than 100 countries  across all major functions, in every industry andenterprise size.
","
Building No 10B, 6th Floor
","
Private
",GURUGRAM,186,Gartner,India,"
>5000
","
Self
","
Others
",0,"
>5000
",www.gartner.com,122002
"
Smartlinks Was Founded In May 2017 With The Unwavering Focus Towards Uncovering Realizable Value For Its Customers In Logistics By Leveraging The Latest Technologies. The Team Comprises Of People Having Complementary Skills And Varying Interests With A Common Core Set Of Values Around Innovation, Commitment, Transparency And Empathy.
","
Smartlinks, Floor 2, Inspire Workplace
","
StartUp
",BENGALURU,187,SL4 Technology India Pvt. Ltd.,India,,"
Contacted by CDC
","
IT/Software,Analytics,Consulting
",0,"
Below 50
",SL4 Technology India Pvt. Ltd.,560037
"
Sprinklr describes itself as a ""unified customer experience management platform for enterprises"". It provides social media marketing, social advertising, content management, collaboration, advocacy and social media monitoring for large brands like Nike, Microsoft and McDonald's.
","
902, Block A, Iris Tech Park, Sohna Road, Sector 48, Gurgaon, Haryana - 122018
","
Private
",Gurgaon,188,Sprinklr India Pvt. Ltd.,India,"
Between 1000 to 5000
","
Alumini Contact
","
IT/Software
",1,,www.sprinklr.com,122018
,"
","
",,189,Quantiphi,,,,"
",0,,,
,"
","
",,190,Cognitifai,,,,"
",0,,,
"
Quantiphi is a category defining Applied AI and Machine Learning software and services company focused on helping organizations translate the big promise of Big Data & Machine Learning technologies into quantifiable business impact.
","
Level 2, Eureka Towers, Mindspace, Link Road, Malad (W), Mumbai, Maharashtra - 400064
","
Private
",Mumbai,191,Quantiphi Analytics Solutions Pvt. Ltd.,India,"
Between 500 to 1000
","
Self
","
Others
",1,,www.quantiphi.com,400064
"
Cohesity, the leader of hyperconverged secondary storage- consolidates all secondary data and apps onto a hyper-converged, web-scale data platform that spans both private and public clouds. ONE intelligent platform - including backups, files, objects, test/dev copies, and analytics - built on true scale-out distributed systems architecture.

(Founded in 2013 and led by Mohit Aron) is disrupting a $60 billion-per-year market by delivering web-scale simplicity for all secondary data from the Edge to the Cloud. Revolutionizing an area of IT that hasnt seen innovation in several decades.

What We Do:

. Eliminate mass data fragmentation by consolidating all secondary data silos
. Bringing SmartPhone-Like Simplicity to all secondary data and apps
. One Platform. One UI. Multiple Apps. Machine Learning
","
Salarpuria Touchstone, A Wing, 3rd Floor, Outer Ring Rd, Kadubeesanahalli,
","
MNC
",Bangalore,192,Cohesity,India,"
Between 1000 to 5000
","
Contacted by CDC
","
IT/Software
",1,,https://www.cohesity.com/,560103
"
We are the Worlds First Team to apply Disruptive thinking to Enterprise Software Challenges. We are disrupting the way enterprise software is created by adopting a path-breaking model for development and delivery. CodeNation has been built ground up on the basis of innovative processes and tools that are our Intellectual Property (IP). We manage massive scale yet provide great cost savings and high quality in our work. This is, by the way, the complete opposite of conventional software development, where scale often leads to quality issues, cost and time overruns. Besides above, CodeNation also does development for 30+ Enterprise products that our client have has acquired over the last few years. We are the sole partners for our client solving million dollar business challenges. Practically we are the R&D arm of our clients.
","
Codenation , Smartworks , Global Technology park
","
StartUp
",Benagluru,193,Codenation,India,,"
Self
","
IT/Software
",0,,http://www.codenation.co.in/,560103
"
At Enquero Global, we accompany our enterprise customers in their digitalization journey by helping them understand whats possible, determine whats valuable, and implement whats meaningful. Enqueros platforms and people are the key to doing these successfully, by connecting data, contextualizing experiences and enhancing digital capabilities. Our focus areas are Digital Capability Enablement, Advanced Analytics, Machine Learning and Experience Design. 
 
At Enquero, you will be part of a dynamic work environment and surrounded by some of the top professionals in business consulting and technology implementations. No matter what level you are at in your career, we believe that everyone, from our interns to senior leaders, can learn something from each other. The free flow of ideas within our company ensures innovative products built by innovative peopl
","
3rd Floor
","
StartUp
",Bengaluru,194,Enquero Global,India,"
Between 500 to 1000
","
Contacted by CDC
","
IT/Software,Analytics
",1,"
Between 100 to 500
",www.enquero.com,560095
"
We provide advanced technology and operations, communications, data and analytics solutions for the financial services industry and businesses.
Delivering real business value for over five decades
Broadridge began as the brokerage services division of ADP in 1962. Since becoming independent in 2007, we have grown into a global Fintech company with over $4 billion in revenues and are recognised as an invaluable partner for the worlds leading companies and financial institutions. We drive business transformation for our clients with solutions for enriching client engagement, navigating risk, optimising efficiency and generating revenue growth. We handle millions of trades a day involving trillions of dollars, support communications that reach 75% of North American households and manage shareholder voting in 90 countries.
","
Adjacent to Cyber Towers, Hi-Tec City, Madhapur
","
MNC
",Hyderabad,195,Broadridge Financial Solutions,India,"
Between 1000 to 5000
","
Self
","
IT/Software
",0,,www.broadridge.com,500081
,"
","
",,196,GE Digital,,,,"
",0,,,
"
GIST Advisory provides sustainability consultancy services to governments, corporations, financial institutions and civil society organizations. We help maximize the effectiveness, efficiency and sustainability of government policy, corporate strategy and financial investment.

Our GIST Collaborative brings together vast experience and in-depth knowledge across the fields of economics, ecology, environment, finance and policy. We are ecologically grounded, economically focused and result oriented. We think big, start small and act fast.
","
GIST Advisory Pvt. Ltd. B1-206 B , 2nd Floor, B-Wing, Boomerang,Chandivali Farm Road, Andheri (East). Mumbai - 400 072
","
Private
",Mumbai,197,GIST Advisory Pvt. Ltd,India,,"
Contacted by CDC
","
Consulting
",0,"
Below 50
",​www.gistadvisory.com,400 072
"
Analog Devices is a global leader in the design and manufacturing of analog, mixed signal, and DSP integrated circuits to help solve the toughest engineering challenges.
","
No.1, Salarpuria Nova, Varthur Road, Nagavarpalya,
","
Private
",Bangalore,198,Analog Devices India Pvt. Ltd.,India,"
Between 100 to 500
","
Alumini Contact
","
Core Engineering
",0,"
>5000
",www.analog.com,560093
"
About OYO Hotels & Homes:
Opening its doors in 2013, OYO Hotels & Homes is the worlds third-largest chain of hotels, homes, managed living and workspaces. The portfolio combines fully operated real estate comprising of more than 23,000 hotels and 46,000 vacation homes. OYO along with Vacation Homes categories managed by the company under OYO Homes, Belvilla and Dancenter brands can be found in more than 800 cities in 80 countries, including the U.S., Europe, U.K., India, Malaysia, Middle East, Indonesia, Philippines, and Japan.
","
9th Floor, Spaze Palazo, Sector 69, Golf Course Extension Road
","
StartUp
","Gurugram, Haryana",199,OYO,India,"
Between 1000 to 5000
","
Self
","
",0,,https://www.oyorooms.com,122001
,"
","
",,200,NprodaX Technologies Private Limited,,,,"
",0,,,
,"
Google India Pvt Ltd.
","
Private
",Bangalore,201,Google,India,"
>5000
","
Contacted by CDC
","
Core Engineering
",1,"
>5000
",www.google.com,560037
"
""AppDynamics is an application performance monitoring solution that uses machine learning and artificial intelligence (AI) to provide real-time visibility and insight into IT environments. With our unique AIOps solution, you can take the right action at exactly the right time with automated anomaly detection, rapid root-cause analysis, and a unified view of your entire application ecosystem, including private and public clouds.Using AppDynamics, youll finally align IT, DevOps, and the business around the information that helps you protect your bottom line and deliver flawless customer experiences at scale.""
","
3rd and 4th floor Commerz building, Bagmane Tech Park,
","
MNC,StartUp
","Bengaluru,  Karnataka",202,AppDynamics India Pvt Ltd,India,"
Between 1000 to 5000
","
Alumini Contact
","
IT/Software
",1,"
>5000
",www.appdynamics.com,560093
"
Avail Finance is a fin-tech startup, aiming at creating a financial umbrella for the blue collared segment.We are aiming at financially including every Indian in the financial eco-system of the country. This is not limited to only lending, this will also include, saving, insurance and investing in the long run.
","
Auro Center, 13/63, Koramangala Industrial Layout
","
StartUp
",Bangalore,203,Goddard Technical Solutions Pvt Ltd - Avail Finance,India,"
Between 100 to 500
","
Self
","
IT/Software,Finance
",0,"
Below 50
",www.availfinance.in,560095
"
Boson Motors inc. is a mobility tech company. We make intelligent electric vehicles with delightful service. Boson is operating R&D centre in Fremont CA & vehicle assembly/integration in Pune, Maharastra.
Founded in 2017 by Suri Bhupatiraju & Arun Seelam, Ex-Google engineers; supported by a team of IITians & engineers from Tesla, Ola, Apple, BMW, VW etc.
","
GAT NO 252, Near Jyotiba Mnadir, Talwade
","
Private
",Pune,204,Boson Motors Pvt Ltd,India,,"
Self
","
Automobile
",0,,https://www.bosonmotors.com/,411062
,"
Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076
","
MNC
",Mumbai,205,Credit Suisse,India,,"
Self
","
Investment Banking
",0,,www.credit-suisse.com,400076
,"
","
",,206,PASONA India Pvt. Ltd,,,,"
",0,,,
,"
Aha
","
PSU
",Aya,207,Test,Aha,,"
Self
","
Telecommunication
",0,,Aha,123457
,"
","
",,208,Dassault Systemes,,,,"
",0,,,
"
The India Fellow Social Leadership is a combination of an immersive grassroots experience with a credible non-profit along with training and mentoring will come together to help a young person bring out their best in the duration of this 13-month journey.
","
D-134, First Floor, D Block, East of Kailash, New Delhi, Delhi 110065
","
NGO
",New Delhi,209,India Fellow,India,,"
Contacted by CDC
","
NGO
",0,"
Below 50
",www.indiafellow.org,110065
,"
","
",,210,Fujikura,,,,"
",0,,,
"
J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive global product platforms available. We have been helping our clients to do business and manage their wealth for more than 200 years. Our business has been built upon our core principle of putting our clients'interests first.
","
J.P. Morgan Towers, Floor 8, Off CST Road, Kalina, Santacruz East, Mumbai, 400098, India
","
MNC
",Mumbai,211,JPMorgan Chase & Co.,India,,"
Self
","
Finance,Investment Banking
",1,,http://www.jpmorgan.com/,400098
"
We are the flagship technology consulting and solutions company of The Chatterjee Group, a multi-billion dollar portfolio of corporations. This relationship empowers us with access to global talent, subject matter expertise, and an impressive array of over 1,000 digital minds.

 

Our clients range from major global brands and large government entities, to small and mid-sized companies; with a recognizable roster of enterprise logos.We differentiate through such things as: deep systems and sectoral knowledge, acute agility, impeccable quality, and ready ease of doing business.Our mantra is simple: Velocity to Value  transformation acceleration for the digital enterprise. We deliver rapid, measurable ROI through relentless innovation. Whether you are setting strategy, ready for execution, or encountering operational drag, TCG Digital brings to bear talent, solutions, and highly performant platforms to catapult your business to successful, sustainable disruption.
","
Bengal Intelligent ParkBuilding-Omega, 16th Floor, Block  EP & GPSector  V Saltlake, Kolkata 700 091, India
","
MNC
",Kolkata,212,TCG Digital Solutions Pvt Ltd,India,"
Between 500 to 1000
","
Self
","
IT/Software,Analytics,Consulting
",1,,https://www.tcgdigital.com/,700091
,"
Campus 5, 2nd Floor, RMZ Millenia -II, Perungudi
","
Other
",Chennai,213,Tiger Analytics,India,"
Between 100 to 500
","
Contacted by CDC
","
Analytics
",0,,www.tigeranalytics.com,600096
,"
Campus 5, 2nd Floor, RMZ Millenia -II, Perungudi
","
Other
",Chennai,214,Tiger Analytics,India,"
Between 100 to 500
","
Contacted by CDC
","
Analytics
",1,,www.tigeranalytics.com,600096
